"C10","11/2026 - Tuần 3-4","Cho phép cấu hình các thành phần của hệ thống","Làm sạch bộ nhớ giữa các bộ dữ liệu","Đánh giá công cụ nào hữu ích hoặc gây nhầm lẫn","Chốt quy trình kiểm chứng finding và ghi nhận kết quả","Phân tích nguyên nhân báo sai và bỏ sót","Xuất kết quả phục vụ phân tích","Hoàn thiện đánh giá từng thành phần lần 1",""
"C11","12/2026 - Tuần 1-2","Cho phép cùng hệ thống chạy với nhiều model","Đảm bảo cách quản lý ngữ cảnh giống nhau giữa các model","Hoàn thiện bộ công cụ dùng cho Audit mode","Đóng gói môi trường chạy kiểm chứng độc lập","So sánh hệ thống trên ít nhất ba nhà cung cấp model","Cho phép chọn model khi tạo lần chạy","Có bảng so sánh đa nhà cung cấp",""
"C12","12/2026 - Tuần 3-4","Ổn định việc chuyển model và xử lý lỗi dịch vụ","Đo chi phí ngữ cảnh của từng model","Viết hướng dẫn mở rộng bộ công cụ","Giới hạn tài nguyên của môi trường kiểm chứng","Chốt kết quả so sánh lần một","Hiển thị thời gian và chi phí dự kiến","M3: Hoàn thành so sánh lần 1",""
"C13","01/2027 - Tuần 1-2","Cho agent tự lập kế hoạch khi audit cả dự án","Duy trì thông tin quan trọng trong phiên audit dài","Hoàn thiện bộ công cụ giúp agent phân tích toàn bộ dự án","Xây luồng tạo, chạy và đánh giá bằng chứng khai thác","Xây cách đánh giá Audit mode","Làm màn hình gửi dự án để audit","Finding đầu tiên có bằng chứng chạy được",""
"C14","01/2027 - Tuần 3-4","Cho phép tiếp tục một lần audit bị gián đoạn","Kiểm soát lượng tài nguyên dùng cho phiên dài","Hỗ trợ agent lần theo luồng gọi trong dự án","Phân loại finding đã xác minh, bị loại hoặc chưa xác minh","Ghi nhận hiệu quả của lớp kiểm chứng","Hiển thị finding kèm bằng chứng và trạng thái","Hoàn thiện lớp kiểm chứng phiên bản 1",""
"C15","02/2027 - Tuần 1-2","Rà soát và đơn giản hóa phần điều phối","Rà soát việc cô lập bộ nhớ giữa các lần chạy","Kiểm thử toàn bộ bộ công cụ và kỹ năng","Kiểm tra khả năng mã nguồn đánh lừa agent","Rà soát chất lượng dữ liệu và tách nhóm theo thời điểm công bố","Sửa lỗi các luồng sử dụng chính","Buffer Tết, không thêm tính năng mới",""
"C16","02/2027 - Tuần 3-4","Giảm các bước xử lý không tạo giá trị","Giảm nội dung dư thừa gửi tới model","Rút gọn kết quả công cụ nhưng giữ đủ bằng chứng","Hoàn thiện các lớp bảo vệ trước benchmark","Chạy thử benchmark và đánh giá cả kết quả lẫn hành trình suy luận","Hỗ trợ theo dõi nhiều lần chạy theo lô","Có kết quả benchmark thử nghiệm để rà soát lần cuối",""
"C17","03/2027 - Tuần 1-2","Hoàn thiện phần điều phối dùng cho đánh giá chính thức","Hoàn thiện quản lý ngữ cảnh và bộ nhớ dùng cho đánh giá","Hoàn thiện bộ công cụ và kỹ năng dùng cho đánh giá","Hoàn thiện lớp bảo vệ và kiểm chứng dùng cho đánh giá","Chạy so sánh đa model chính thức","Hoàn thiện hai luồng Judge và Audit","Hoàn tất phiên bản dùng cho đánh giá chính thức",""
"C18","03/2027 - Tuần 3-4","Đóng băng phần điều phối, chỉ sửa lỗi ảnh hưởng kết quả","Đóng băng quản lý ngữ cảnh và bộ nhớ","Đóng băng bộ công cụ, kỹ năng và hoàn thiện hướng dẫn mở rộng","Đóng băng lớp bảo vệ và rà soát trường hợp chưa rõ kết quả","Phân tích lỗi và trả lời ba câu hỏi nghiên cứu","Chốt kịch bản demo 10 phút","M4: Đóng băng hệ thống và chốt kết luận nghiên cứu",""
"C19","04/2027 - Tuần 1-2","Kiểm thử lại toàn bộ luồng xử lý","Kiểm thử rút gọn và khôi phục ngữ cảnh","Kiểm thử công cụ với dự án hợp lệ và dự án lỗi","Chứng minh hệ thống không đọc được đáp án","Kiểm tra khả năng tái lập kết quả","Kiểm thử dịch vụ phục vụ demo","Có bộ kiểm thử hồi quy và an toàn",""
"C20","04/2027 - Tuần 3-4","Kiểm thử các thành phần hoạt động cùng nhau","Kiểm thử bộ nhớ được làm sạch đúng lúc","Kiểm thử khả năng thêm và loại bỏ công cụ","Kiểm thử lệnh và truy cập ngoài phạm vi","Hoàn thiện biểu đồ và bảng số liệu","Kiểm thử toàn bộ giao diện","Hoàn thành bản nháp báo cáo",""
"C21","05/2027 - Tuần 1-2","Đóng gói dịch vụ điều phối để cài đặt thống nhất","Đóng gói cấu hình ngữ cảnh và bộ nhớ","Đóng gói bộ công cụ và kỹ năng","Đóng gói môi trường an toàn và cấu hình bảo vệ","Khóa dữ liệu và kết quả dùng trong báo cáo","Chuẩn bị dữ liệu phát lại khi demo","Hệ thống chạy được trên máy sạch",""
"C22","05/2027 - Tuần 3-4","Kiểm tra quy trình cài đặt từ đầu","Kiểm tra cấu hình mặc định","Kiểm tra việc nạp công cụ và kỹ năng","Kiểm tra môi trường kiểm chứng trên máy mới","Hoàn thiện mô tả corpus và cách đánh giá","Hoàn thiện chế độ demo không cần mạng","Demo offline đã được kiểm tra",""
"C23","06/2027 - Tuần 1-2","Hoàn thiện tài liệu kiến trúc điều phối","Hoàn thiện tài liệu quản lý ngữ cảnh và bộ nhớ","Hoàn thiện tài liệu công cụ và kỹ năng","Hoàn thiện tài liệu bảo vệ và kiểm chứng","Viết chương dữ liệu và thực nghiệm","Hoàn thiện hướng dẫn sử dụng","Có bản nháp đầy đủ của báo cáo",""
"C24","06/2027 - Tuần 3-4","Rà soát phần kiến trúc trong báo cáo","Rà soát phần quản lý ngữ cảnh","Rà soát phần công cụ và kỹ năng","Rà soát phần an toàn và kiểm chứng","Rà soát số liệu và phụ lục benchmark","Chốt bản demo cuối","Báo cáo hoàn chỉnh kèm phụ lục",""
"C25","07/2027 - Tuần 1-2","Chuẩn bị trả lời về kiến trúc và agent loop","Chuẩn bị trả lời về bộ nhớ và chi phí","Chuẩn bị trả lời về công cụ và kỹ năng","Chuẩn bị trả lời về lớp kiểm chứng","Chuẩn bị trình bày kết quả nghiên cứu","Luyện demo theo kịch bản chính và dự phòng","Hoàn thiện slide và bộ câu hỏi phản biện",""
"C26","07/2027 - Tuần 3-4","Tổng duyệt phần kiến trúc","Tổng duyệt phần ngữ cảnh","Tổng duyệt phần công cụ","Tổng duyệt phần kiểm chứng","Tổng duyệt phần kết quả","Tổng duyệt demo trên máy bảo vệ","M5: Sẵn sàng bảo vệ",""
